preset,packet_id_hex,count,mean_len,variance
p1035,0x11,200,229.08,125.32
p1035,0x34,62,227.50,80.35
p1035,0x47,72,224.88,54.72
p1035,0x53,13,225.23,177.41
p1035,0x98,4,234.50,24.75
