packet_id,count,mean_len,var_len,leftover_mean,leftover_hist
0x11,302,228.85,120.89,214.85,191:2;193:10;195:17;197:7;199:4;201:9;203:9;205:26;207:6;209:2;211:3;213:40;215:18;216:1;220:1;221:5;222:56;224:15;226:51;228:13;230:7
0x34,89,228.38,86.35,214.38,199:6;201:3;203:5;205:11;207:2;209:1;211:2;213:11;215:18;217:4;223:3;224:7;228:15;230:1
0x47,110,224.52,74.74,174.52,163:7;165:16;167:10;169:5;171:3;173:10;175:14;177:24;179:4;185:6;194:11
0x53,20,226.05,115.75,212.05,191:1;193:1;199:1;201:2;207:1;209:5;222:6;224:3
0x98,1,219.00,0.00,203.00,203:1
