packet_id,count,mean_len,var_len,leftover_mean,leftover_hist
0x12,558,231.94,146.61,217.94,189:3;192:17;193:32;196:28;197:1;200:1;201:19;204:6;205:23;208:4;209:1;213:15;217:24;221:1;222:87;225:13;226:251;229:29;230:3
0x36,414,228.95,62.68,214.95,192:3;196:12;200:9;201:3;204:22;205:35;208:3;209:5;212:16;213:14;216:169;217:21;220:33;221:5;225:32;229:32
0x47,105,224.10,63.87,174.10,156:1;160:2;161:2;164:1;165:21;168:8;176:47;180:16;194:7
0x53,21,224.24,217.42,210.24,188:1;189:1;192:3;197:1;201:4;222:8;225:1;230:2
0x98,6,232.17,106.81,216.17,194:1;219:4;227:1
