preset,packet_id_hex,count,mean_len,variance
p1045,0x12,395,233.45,91.87
p1045,0x34,66,228.85,98.07
p1045,0x47,68,224.46,79.60
p1045,0x53,10,234.70,15.21
p1045,0x98,1,232.00,0.00
